wav_filename,wav_filesize,transcript
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_112_001.wav,90640,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_113_001.wav,68560,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_114_001.wav,74320,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_115_001.wav,65680,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_116_001.wav,78160,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_117_001.wav,72400,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_118_001.wav,85480,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_119_001.wav,66640,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_124_001.wav,77200,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_125_001.wav,82000,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_126_001.wav,79120,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_127_001.wav,82000,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_128_001.wav,70480,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_129_001.wav,73360,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_130_001.wav,75280,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_131_001.wav,86800,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_132_001.wav,70480,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_133_001.wav,87760,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_134_001.wav,69520,aktifkan jakarta
/home/akmal/DeepSpeech/data/16khz/m_flexi_pc_135_001.wav,67600,aktifkan jakarta
